# ========
# captured on: Mon Jul 15 18:40:29 2013
# hostname : venture
# os release : 3.5.0-23-generic
# perf version : 3.5.7.2
# arch : x86_64
# nrcpus online : 8
# nrcpus avail : 8
# cpudesc : Intel(R) Core(TM) i7 CPU 870 @ 2.93GHz
# cpuid : GenuineIntel,6,30,5
# total memory : 3982968 kB
# cmdline : /usr/bin/perf_3.5.0-23 record ./out/Release/bench --repeat 10 --match bitmaprect --config 565 --timers wcg 
# event : name = cycles, type = 0, config = 0x0, config1 = 0x0, config2 = 0x0, excl_usr = 0, excl_kern = 0, id = { 366, 367, 368, 369, 370, 371, 372, 373 }
# HEADER_CPU_TOPOLOGY info available, use -I to display
# HEADER_NUMA_TOPOLOGY info available, use -I to display
# ========
#
# Samples: 1K of event 'cycles'
# Event count (approx.): 1540598171
#
# Overhead  Command           Shared Object                                                                                                                                                                                                                                                                                                                                                                                                                     Symbol
# ........  .......  ......................  .........................................................................................................................................................................................................................................................................................................................................................................................................................
#
     0.06%    bench  libpthread-2.15.so      [.] pthread_mutex_unlock                                                                                                                                                                                                                                                                                                                                                                                                 
     0.06%    bench  bench                   [.] SkPixelRef::unlockPixels()                                                                                                                                                                                                                                                                                                                                                                                           
     0.06%    bench  bench                   [.] SkPixelRef::lockPixels()                                                                                                                                                                                                                                                                                                                                                                                             
     0.05%    bench  bench                   [.] floorf@plt                                                                                                                                                                                                                                                                                                                                                                                                           
     0.05%    bench  libglsl.so              [.] 0x000000000003a5aa                                                                                                                                                                                                                                                                                                                                                                                                   
     0.05%    bench  bench                   [.] sk_memset16_SSE2(unsigned short*, unsigned short, int)                                                                                                                                                                                                                                                                                                                                                               
     0.05%    bench  bench                   [.] sk_atomic_inc(int*)                                                                                                                                                                                                                                                                                                                                                                                                  
     0.05%    bench  libLLVM-3.0.so.1        [.] llvm::X86InstrInfo::AddTableEntry(llvm::DenseMap<unsigned int, std::pair<unsigned int, unsigned int>, llvm::DenseMapInfo<unsigned int>, llvm::DenseMapInfo<std::pair<unsigned int, unsigned int> > >&, llvm::DenseMap<unsigned int, std::pair<unsigned int, unsigned int>, llvm::DenseMapInfo<unsigned int>, llvm::DenseMapInfo<std::pair<unsigned int, unsigned int> > >&, unsigned int, unsigned int, unsigned int)
     0.05%    bench  libc-2.15.so            [.] srandom_r                                                                                                                                                                                                                                                                                                                                                                                                            
     0.05%    bench  libGL.so.1.2            [.] glXGetFBConfigAttribSGIX                                                                                                                                                                                                                                                                                                                                                                                             
     0.05%    bench  bench                   [.] SkPaint::SkPaint(SkPaint const&)                                                                                                                                                                                                                                                                                                                                                                                     
     0.05%    bench  bench                   [.] SkDevice::drawBitmap(SkDraw const&, SkBitmap const&, SkIRect const*, SkMatrix const&, SkPaint const&)                                                                                                                                                                                                                                                                                                                
     0.05%    bench  libGL.so.1.2            [.] glXGetProcAddressARB                                                                                                                                                                                                                                                                                                                                                                                                 
     0.05%    bench  libc-2.15.so            [.] vfprintf                                                                                                                                                                                                                                                                                                                                                                                                             
     0.05%    bench  bench                   [.] SkBitmap::updatePixelsFromRef() const                                                                                                                                                                                                                                                                                                                                                                                
     0.05%    bench  libm-2.15.so            [.] 0x000000000002f676                                                                                                                                                                                                                                                                                                                                                                                                   
     0.05%    bench  bench                   [.] sk_atomic_dec(int*)                                                                                                                                                                                                                                                                                                                                                                                                  
     0.05%    bench  bench                   [.] SkRasterClip::getBounds() const                                                                                                                                                                                                                                                                                                                                                                                      
     0.05%    bench  nouveau_dri.so          [.] driIndexConfigAttrib                                                                                                                                                                                                                                                                                                                                                                                                 
     0.05%    bench  bench                   [.] SkTreatAsSprite(SkMatrix const&, int, int, unsigned int)                                                                                                                                                                                                                                                                                                                                                             
     0.02%    bench  libc-2.15.so            [.] _dl_addr                                                                                                                                                                                                                                                                                                                                                                                                             
     0.01%    bench  libc-2.15.so            [.] __poll                                                                                                                                                                                                                                                                                                                                                                                                               
     0.00%    bench  libc-2.15.so            [.] execvp                                                                                                                                                                                                                                                                                                                                                                                                               


#
# (For a higher level overview, try: perf report --sort comm,dso)
#
