# ========
# captured on: Sat Jul 13 00:57:31 2013
# hostname : venture
# os release : 3.5.0-23-generic
# perf version : 3.5.7.2
# arch : x86_64
# nrcpus online : 8
# nrcpus avail : 8
# cpudesc : Intel(R) Core(TM) i7 CPU 870 @ 2.93GHz
# cpuid : GenuineIntel,6,30,5
# total memory : 3982968 kB
# cmdline : /usr/bin/perf_3.5.0-23 record ./out/Release/bench --repeat 10 --match path_stroke_small_long_line --config GPU --timers wcg 
# event : name = cycles, type = 0, config = 0x0, config1 = 0x0, config2 = 0x0, excl_usr = 0, excl_kern = 0, id = { 30, 31, 32, 33, 34, 35, 36, 37 }
# HEADER_CPU_TOPOLOGY info available, use -I to display
# HEADER_NUMA_TOPOLOGY info available, use -I to display
# ========
#
# Samples: 2K of event 'cycles'
# Event count (approx.): 2207052684
#
# Overhead  Command            Shared Object                                                                                                                         Symbol
# ........  .......  .......................  .............................................................................................................................
#
     0.04%    bench  bench                    [.] SkMatrix::Trans_pts(SkMatrix const&, SkPoint*, SkPoint const*, int)                                                      
     0.04%    bench  libpthread-2.15.so       [.] pthread_once                                                                                                             
     0.04%    bench  libglsl.so               [.] emit_inline_vector_constructor(glsl_type const*, exec_list*, exec_list*, void*)                                          
     0.04%    bench  libX11.so.6.3.0          [.] XGetVisualInfo                                                                                                           
     0.04%    bench  libLLVM-3.0.so.1         [.] llvm::PMTopLevelManager::setLastUser(llvm::SmallVectorImpl<llvm::Pass*> const&, llvm::Pass*)                             
     0.04%    bench  bench                    [.] SkRTree::insert(void*, SkIRect const&, bool)                                                                             
     0.04%    bench  libdricore.so            [.] pthread_mutex_unlock@plt                                                                                                 
     0.04%    bench  bench                    [.] SkRTree::insert(SkRTree::Node*, SkRTree::Branch*, unsigned short)                                                        
     0.04%    bench  libc-2.15.so             [.] _IO_default_xsputn                                                                                                       
     0.04%    bench  libdricore.so            [.] hash_table_find                                                                                                          
     0.04%    bench  libglsl.so               [.] s_match(s_expression*, unsigned int, s_pattern*, bool)                                                                   
     0.04%    bench  libfreetype.so.6.8.0     [.] 0x000000000004c5df                                                                                                       
     0.04%    bench  libdricore.so            [.] _mesa_GetError                                                                                                           
     0.04%    bench  libm-2.15.so             [.] __powf_finite                                                                                                            
     0.04%    bench  libpthread-2.15.so       [.] pthread_mutex_lock                                                                                                       
     0.04%    bench  bench                    [.] GrGLBufferImpl::bind(GrGpuGL*) const                                                                                     
     0.04%    bench  libfontconfig.so.1.4.4   [.] 0x0000000000015e0f                                                                                                       
     0.04%    bench  bench                    [.] Fact0(void*)                                                                                                             
     0.04%    bench  bench                    [.] tool_main(int, char**)                                                                                                   
     0.04%    bench  libc-2.15.so             [.] getenv                                                                                                                   
     0.04%    bench  libglsl.so               [.] ralloc_size                                                                                                              
     0.04%    bench  libglsl.so               [.] _mesa_glsl__scan_bytes(char const*, int, void*)                                                                          
     0.04%    bench  libglsl.so               [.] ir_variable_refcount_visitor::get_variable_entry(ir_variable*)                                                           
     0.04%    bench  libpthread-2.15.so       [.] pthread_getspecific                                                                                                      
     0.03%    bench  libdricore.so            [.] _mesa_get_enabled_extension                                                                                              
     0.02%    bench  libfontconfig.so.1.4.4   [.] FcStrSetMember                                                                                                           
     0.02%    bench  libstdc++.so.6.0.16      [.] _ZNSs4_Rep9_S_createEmmRKSaIcE@plt                                                                                       
     0.02%    bench  libexpat.so.1.5.2        [.] XmlPrologStateInit                                                                                                       
     0.01%    bench  libdricore.so            [.] _mesa_make_extension_string                                                                                              
     0.01%    bench  libc-2.15.so             [.] vfprintf                                                                                                                 
     0.01%    bench  libdricore.so            [.] _mesa_reference_buffer_object_                                                                                           
     0.01%    bench  libglsl.so               [.] lower_noise(exec_list*)                                                                                                  
     0.01%    bench  libglsl.so               [.] ir_rvalue_visitor::visit_leave(ir_assignment*)                                                                           
     0.01%    bench  libglsl.so               [.] ralloc_array_size                                                                                                        
     0.01%    bench  libc-2.15.so             [.] bsearch                                                                                                                  
     0.01%    bench  bench                    [.] strlen@plt                                                                                                               
     0.01%    bench  libdricore.so            [.] _mesa_Clear                                                                                                              


#
# (For a higher level overview, try: perf report --sort comm,dso)
#
# ========
# captured on: Sat Jul 13 00:57:31 2013
# hostname : venture
# os release : 3.5.0-23-generic
# perf version : 3.5.7.2
# arch : x86_64
# nrcpus online : 8
# nrcpus avail : 8
# cpudesc : Intel(R) Core(TM) i7 CPU 870 @ 2.93GHz
# cpuid : GenuineIntel,6,30,5
# total memory : 3982968 kB
# cmdline : /usr/bin/perf_3.5.0-23 record ./out/Release/bench --repeat 10 --match path_stroke_small_long_line --config GPU --timers wcg 
# event : name = cycles, type = 0, config = 0x0, config1 = 0x0, config2 = 0x0, excl_usr = 0, excl_kern = 0, id = { 30, 31, 32, 33, 34, 35, 36, 37 }
# HEADER_CPU_TOPOLOGY info available, use -I to display
# HEADER_NUMA_TOPOLOGY info available, use -I to display
# ========
#
# Samples: 2K of event 'cycles'
# Event count (approx.): 2207052684
#
# Overhead  Command            Shared Object
# ........  .......  .......................
#
    71.52%    bench  bench                  
    21.61%    bench  [kernel.kallsyms]      
     3.34%    bench  libc-2.15.so           
     0.76%    bench  ld-2.15.so             
     0.61%    bench  libglsl.so             
     0.52%    bench  libGL.so.1.2           
     0.50%    bench  libdricore.so          
     0.28%    bench  nouveau_dri.so         
     0.22%    bench  libpthread-2.15.so     
     0.20%    bench  libexpat.so.1.5.2      
     0.12%    bench  libgallium.so          
     0.08%    bench  libLLVM-3.0.so.1       
     0.06%    bench  libfontconfig.so.1.4.4 
     0.04%    bench  libdrm_nouveau.so.1.0.0
     0.04%    bench  libX11.so.6.3.0        
     0.04%    bench  libfreetype.so.6.8.0   
     0.04%    bench  libm-2.15.so           
     0.02%    bench  libstdc++.so.6.0.16    


