# ========
# captured on: Mon Jul 15 18:27:24 2013
# hostname : venture
# os release : 3.5.0-23-generic
# perf version : 3.5.7.2
# arch : x86_64
# nrcpus online : 8
# nrcpus avail : 8
# cpudesc : Intel(R) Core(TM) i7 CPU 870 @ 2.93GHz
# cpuid : GenuineIntel,6,30,5
# total memory : 3982968 kB
# cmdline : /usr/bin/perf_3.5.0-23 record ./out/Release/bench --repeat 10 --match chart_aa --config GPU --timers wcg 
# event : name = cycles, type = 0, config = 0x0, config1 = 0x0, config2 = 0x0, excl_usr = 0, excl_kern = 0, id = { 310, 311, 312, 313, 314, 315, 316, 317 }
# HEADER_CPU_TOPOLOGY info available, use -I to display
# HEADER_NUMA_TOPOLOGY info available, use -I to display
# ========
#
# Samples: 2K of event 'cycles'
# Event count (approx.): 2237847695
#
# Overhead  Command            Shared Object                                                                                                                                                                                                                                                     Symbol
# ........  .......  .......................  .........................................................................................................................................................................................................................................................
#
     0.11%    bench  libgallium.so            [.] 0x000000000010dd80                                                                                                                                                                                                                                   
     0.11%    bench  bench                    [.] SkRTree::insert(SkRTree::Node*, SkRTree::Branch*, unsigned short)                                                                                                                                                                                    
     0.11%    bench  bench                    [.] SkMatrix::RotTrans_pts(SkMatrix const&, SkPoint*, SkPoint const*, int)                                                                                                                                                                               
     0.11%    bench  libexpat.so.1.5.2        [.] 0x000000000000f4a9                                                                                                                                                                                                                                   
     0.09%    bench  nouveau_dri.so           [.] 0x000000000003d371                                                                                                                                                                                                                                   
     0.08%    bench  bench                    [.] GrGpuGL::flushGraphicsState(GrGpu::DrawType, GrDeviceCoordTexture const*)                                                                                                                                                                            
     0.08%    bench  bench                    [.] _ZN9GrContext13prepareToDrawEPK7GrPaintNS_12BufferedDrawEPNS_18AutoRestoreEffectsE.constprop.82                                                                                                                                                      
     0.08%    bench  bench                    [.] GrSWMaskHelper::DrawPathMaskToTexture(GrContext*, SkPath const&, SkStrokeRec const&, SkIRect const&, bool, SkMatrix*)                                                                                                                                
     0.08%    bench  bench                    [.] SkEdgeClipper::next(SkPoint*)                                                                                                                                                                                                                        
     0.08%    bench  nouveau_dri.so           [.] nv50_vertex_arrays_validate                                                                                                                                                                                                                          
     0.08%    bench  bench                    [.] SkAlphaRuns::reset(int)                                                                                                                                                                                                                              
     0.08%    bench  libgallium.so            [.] st_draw_vbo                                                                                                                                                                                                                                          
     0.08%    bench  bench                    [.] SkMatrix::Trans_pts(SkMatrix const&, SkPoint*, SkPoint const*, int)                                                                                                                                                                                  
     0.08%    bench  bench                    [.] memset@plt                                                                                                                                                                                                                                           
     0.08%    bench  libglapi.so.0.0.0        [.] 0x000000000000cee0                                                                                                                                                                                                                                   
     0.07%    bench  bench                    [.] SkRTree::distributeChildren(SkRTree::Branch*)                                                                                                                                                                                                        
     0.07%    bench  libdrm_nouveau.so.1.0.0  [.] nouveau_reloc_emit                                                                                                                                                                                                                                   
     0.07%    bench  bench                    [.] ChartBench::onDraw(SkCanvas*)                                                                                                                                                                                                                        
     0.06%    bench  libX11.so.6.3.0          [.] XGetVisualInfo                                                                                                                                                                                                                                       
     0.06%    bench  libGL.so.1.2             [.] glXGetFBConfigAttribSGIX                                                                                                                                                                                                                             
     0.04%    bench  libgallium.so            [.] st_gl_texture_dims_to_pipe_dims                                                                                                                                                                                                                      
     0.04%    bench  libc-2.15.so             [.] mmap64                                                                                                                                                                                                                                               
     0.04%    bench  bench                    [.] GrEffect::~GrEffect()                                                                                                                                                                                                                                
     0.04%    bench  bench                    [.] GrInOrderDrawBuffer::flush()                                                                                                                                                                                                                         
     0.04%    bench  bench                    [.] SkPaint::setAntiAlias(bool)                                                                                                                                                                                                                          
     0.04%    bench  bench                    [.] GrInOrderDrawBuffer::onDraw(GrDrawTarget::DrawInfo const&)                                                                                                                                                                                           
     0.04%    bench  libdricore.so            [.] _mesa_sizeof_type                                                                                                                                                                                                                                    
     0.04%    bench  nouveau_dri.so           [.] nv50_screen_make_buffers_resident                                                                                                                                                                                                                    
     0.04%    bench  bench                    [.] GrGLProgramDesc::Build(GrDrawState const&, bool, GrDrawState::BlendOptFlags, GrBlendCoeff, GrBlendCoeff, GrGpuGL const*, GrDeviceCoordTexture const*, SkTArray<GrEffectStage const*, true>*, SkTArray<GrEffectStage const*, true>*, GrGLProgramDesc*)
     0.04%    bench  libgallium.so            [.] cso_construct_key                                                                                                                                                                                                                                    
     0.04%    bench  libdricore.so            [.] _mesa_image_image_stride                                                                                                                                                                                                                             
     0.04%    bench  bench                    [.] GrDrawState::setDefaultVertexAttribs()                                                                                                                                                                                                               
     0.04%    bench  nouveau_dri.so           [.] nvcg_find_constant                                                                                                                                                                                                                                   
     0.04%    bench  bench                    [.] GrTexture::ComputeScratchKey(GrTextureDesc const&)                                                                                                                                                                                                   
     0.04%    bench  bench                    [.] SkTLS::Get(void* (*)(), void (*)(void*))                                                                                                                                                                                                             
     0.04%    bench  bench                    [.] GrBufferAllocPool::createBlock(unsigned long)                                                                                                                                                                                                        
     0.04%    bench  libdricore.so            [.] hash_table_insert                                                                                                                                                                                                                                    
     0.04%    bench  bench                    [.] SkPoint::rotateCCW(SkPoint*) const                                                                                                                                                                                                                   
     0.04%    bench  nouveau_dri.so           [.] nouveau_fence_work                                                                                                                                                                                                                                   
     0.04%    bench  libglsl.so               [.] strspn@plt                                                                                                                                                                                                                                           
     0.04%    bench  libgallium.so            [.] st_sampler_compat_formats                                                                                                                                                                                                                            
     0.04%    bench  libdrm_nouveau.so.1.0.0  [.] nouveau_bo_ref                                                                                                                                                                                                                                       
     0.04%    bench  libdricore.so            [.] _vbo_InvalidateState                                                                                                                                                                                                                                 
     0.04%    bench  bench                    [.] SkEdgeClipper::clipMonoCubic(SkPoint const*, SkRect const&)                                                                                                                                                                                          
     0.04%    bench  bench                    [.] GrDrawState::~GrDrawState()                                                                                                                                                                                                                          
     0.04%    bench  libglsl.so               [.] ralloc_size                                                                                                                                                                                                                                          
     0.04%    bench  libdricore.so            [.] _mesa_update_state_locked                                                                                                                                                                                                                            
     0.04%    bench  libglsl.so               [.] ir_reader::read_rvalue(s_expression*)                                                                                                                                                                                                                
