# ========
# captured on: Mon Jul 15 18:43:31 2013
# hostname : venture
# os release : 3.5.0-23-generic
# perf version : 3.5.7.2
# arch : x86_64
# nrcpus online : 8
# nrcpus avail : 8
# cpudesc : Intel(R) Core(TM) i7 CPU 870 @ 2.93GHz
# cpuid : GenuineIntel,6,30,5
# total memory : 3982968 kB
# cmdline : /usr/bin/perf_3.5.0-23 record ./out/Release/bench --repeat 10 --match bitmap_8888_A_source --config 565 --timers wcg 
# event : name = cycles, type = 0, config = 0x0, config1 = 0x0, config2 = 0x0, excl_usr = 0, excl_kern = 0, id = { 374, 375, 376, 377, 378, 379, 380, 381 }
# HEADER_CPU_TOPOLOGY info available, use -I to display
# HEADER_NUMA_TOPOLOGY info available, use -I to display
# ========
#
# Samples: 3K of event 'cycles'
# Event count (approx.): 2721196195
#
# Overhead  Command           Shared Object                                                                                                                                                                                                                                                                                                                                                                                                                     Symbol
# ........  .......  ......................  .........................................................................................................................................................................................................................................................................................................................................................................................................................
#
     0.03%    bench  bench                   [.] SkMatrix::setConcat(SkMatrix const&, SkMatrix const&)                                                                                                                                                                                                                                                                                                                                                                
     0.03%    bench  libLLVM-3.0.so.1        [.] llvm::X86InstrInfo::AddTableEntry(llvm::DenseMap<unsigned int, std::pair<unsigned int, unsigned int>, llvm::DenseMapInfo<unsigned int>, llvm::DenseMapInfo<std::pair<unsigned int, unsigned int> > >&, llvm::DenseMap<unsigned int, std::pair<unsigned int, unsigned int>, llvm::DenseMapInfo<unsigned int>, llvm::DenseMapInfo<std::pair<unsigned int, unsigned int> > >&, unsigned int, unsigned int, unsigned int)
     0.03%    bench  libc-2.15.so            [.] _IO_default_xsputn                                                                                                                                                                                                                                                                                                                                                                                                   
     0.03%    bench  bench                   [.] SkPath::quadTo(float, float, float, float)                                                                                                                                                                                                                                                                                                                                                                           
     0.03%    bench  bench                   [.] SkRect::sort()                                                                                                                                                                                                                                                                                                                                                                                                       
     0.03%    bench  bench                   [.] operate_on_span(int const*, int const*, int*, int, int)                                                                                                                                                                                                                                                                                                                                                              
     0.03%    bench  libm-2.15.so            [.] 0x000000000002e846                                                                                                                                                                                                                                                                                                                                                                                                   
     0.03%    bench  bench                   [.] _ZN6SkScan9FillIRectERK7SkIRectPK8SkRegionP9SkBlitter.part.10                                                                                                                                                                                                                                                                                                                                                        
     0.03%    bench  bench                   [.] void SkTIntroSort<SkRTree::Branch, SkRTree::RectLessY>(int, SkRTree::Branch*, SkRTree::Branch*, SkRTree::RectLessY)                                                                                                                                                                                                                                                                                                  
     0.03%    bench  bench                   [.] void SkTIntroSort<SkRTree::Branch, SkRTree::RectLessX>(int, SkRTree::Branch*, SkRTree::Branch*, SkRTree::RectLessX)                                                                                                                                                                                                                                                                                                  
     0.03%    bench  bench                   [.] BitmapBench::onDraw(SkCanvas*)                                                                                                                                                                                                                                                                                                                                                                                       
     0.03%    bench  libc-2.15.so            [.] __libc_calloc                                                                                                                                                                                                                                                                                                                                                                                                        
     0.03%    bench  bench                   [.] SkTMaskGamma_build_correcting_lut(unsigned char*, unsigned int, float, SkColorSpaceLuminance const&, float, SkColorSpaceLuminance const&, float)                                                                                                                                                                                                                                                                     
     0.03%    bench  nouveau_dri.so          [.] 0x000000000003d36f                                                                                                                                                                                                                                                                                                                                                                                                   
     0.03%    bench  libfontconfig.so.1.4.4  [.] FcConfigSubstituteWithPat                                                                                                                                                                                                                                                                                                                                                                                            
     0.03%    bench  libc-2.15.so            [.] realloc                                                                                                                                                                                                                                                                                                                                                                                                              
     0.03%    bench  bench                   [.] SkString::operator=(char const*)                                                                                                                                                                                                                                                                                                                                                                                     
     0.02%    bench  libc-2.15.so            [.] malloc                                                                                                                                                                                                                                                                                                                                                                                                               
     0.01%    bench  libfontconfig.so.1.4.4  [.] FcStrSetMember                                                                                                                                                                                                                                                                                                                                                                                                       


#
# (For a higher level overview, try: perf report --sort comm,dso)
#
