# ========
# captured on: Mon Jul 15 18:18:58 2013
# hostname : venture
# os release : 3.5.0-23-generic
# perf version : 3.5.7.2
# arch : x86_64
# nrcpus online : 8
# nrcpus avail : 8
# cpudesc : Intel(R) Core(TM) i7 CPU 870 @ 2.93GHz
# cpuid : GenuineIntel,6,30,5
# total memory : 3982968 kB
# cmdline : /usr/bin/perf_3.5.0-23 record ./out/Release/bench --repeat 10 --match matrixconvolution --config 565 --timers wcg 
# event : name = cycles, type = 0, config = 0x0, config1 = 0x0, config2 = 0x0, excl_usr = 0, excl_kern = 0, id = { 278, 279, 280, 281, 282, 283, 284, 285 }
# HEADER_CPU_TOPOLOGY info available, use -I to display
# HEADER_NUMA_TOPOLOGY info available, use -I to display
# ========
#
# Samples: 12K of event 'cycles'
# Event count (approx.): 10831417098
#
# Overhead  Command           Shared Object                                                                                                                             Symbol
# ........  .......  ......................  .................................................................................................................................
#
     0.01%    bench  libLLVM-3.0.so.1        [.] llvm::PMDataManager::recordAvailableAnalysis(llvm::Pass*)                                                                    
     0.01%    bench  libLLVM-3.0.so.1        [.] llvm::initializeLoopInfoPass(llvm::PassRegistry&)                                                                            
     0.01%    bench  libglsl.so              [.] 0x0000000000056b7a                                                                                                           
     0.01%    bench  bench                   [.] sk_atomic_inc(int*)                                                                                                          
     0.01%    bench  bench                   [.] sk_atomic_dec(int*)                                                                                                          
     0.01%    bench  libGL.so.1.2            [.] glXGetFBConfigAttribSGIX                                                                                                     
     0.01%    bench  libLLVM-3.0.so.1        [.] llvm::X86::CONTROL_REGClass::CONTROL_REGClass()                                                                              
     0.00%    bench  libc-2.15.so            [.] __libc_calloc                                                                                                                
     0.00%    bench  nouveau_dri.so          [.] driIndexConfigAttrib                                                                                                         


#
# (For a higher level overview, try: perf report --sort comm,dso)
#
