# ========
# captured on: Mon Jul 15 18:00:43 2013
# hostname : venture
# os release : 3.5.0-23-generic
# perf version : 3.5.7.2
# arch : x86_64
# nrcpus online : 8
# nrcpus avail : 8
# cpudesc : Intel(R) Core(TM) i7 CPU 870 @ 2.93GHz
# cpuid : GenuineIntel,6,30,5
# total memory : 3982968 kB
# cmdline : /usr/bin/perf_3.5.0-23 record ./out/Release/bench --repeat 10 --match path_stroke_small_long_curved --config GPU --timers wcg 
# event : name = cycles, type = 0, config = 0x0, config1 = 0x0, config2 = 0x0, excl_usr = 0, excl_kern = 0, id = { 190, 191, 192, 193, 194, 195, 196, 197 }
# HEADER_CPU_TOPOLOGY info available, use -I to display
# HEADER_NUMA_TOPOLOGY info available, use -I to display
# ========
#
# Samples: 3K of event 'cycles'
# Event count (approx.): 3365173414
#
# Overhead  Command            Shared Object                                                                                                                                                                                                                                                     Symbol
# ........  .......  .......................  .........................................................................................................................................................................................................................................................
#
     0.05%    bench  bench                    [.] SkPoint::rotateCCW(SkPoint*) const                                                                                                                                                                                                                   
     0.05%    bench  libpthread-2.15.so       [.] pthread_mutex_unlock                                                                                                                                                                                                                                 
     0.05%    bench  bench                    [.] sort_edges(SkEdge**, int, SkEdge**)                                                                                                                                                                                                                  
     0.05%    bench  bench                    [.] void SkTIntroSort<SkRTree::Branch, SkRTree::RectLessX>(int, SkRTree::Branch*, SkRTree::Branch*, SkRTree::RectLessX)                                                                                                                                  
     0.04%    bench  libGL.so.1.2             [.] glXGetFBConfigAttribSGIX                                                                                                                                                                                                                             
     0.03%    bench  nouveau_dri.so           [.] driIndexConfigAttrib                                                                                                                                                                                                                                 
     0.03%    bench  bench                    [.] SkMatrix::mapPoints(SkPoint*, SkPoint const*, int) const                                                                                                                                                                                             
     0.03%    bench  nouveau_dri.so           [.] u_get_transfer_vtbl                                                                                                                                                                                                                                  
     0.03%    bench  bench                    [.] sk_atomic_inc(int*)                                                                                                                                                                                                                                  
     0.03%    bench  libdricore.so            [.] hash_table_string_hash                                                                                                                                                                                                                               
     0.03%    bench  nouveau_dri.so           [.] util_format_description                                                                                                                                                                                                                              
     0.03%    bench  bench                    [.] glActiveTexture@plt                                                                                                                                                                                                                                  
     0.03%    bench  bench                    [.] SkXfermode::Create(SkXfermode::Mode)                                                                                                                                                                                                                 
     0.03%    bench  bench                    [.] GrGpuGL::bindTexture(int, GrTextureParams const&, GrGLTexture*)                                                                                                                                                                                      
     0.03%    bench  bench                    [.] sk_realloc_throw(void*, unsigned long)                                                                                                                                                                                                               
     0.03%    bench  bench                    [.] SkDrawTreatAsHairline(SkPaint const&, SkMatrix const&, float*)                                                                                                                                                                                       
     0.03%    bench  bench                    [.] SkPaint::setXfermode(SkXfermode*)                                                                                                                                                                                                                    
     0.03%    bench  bench                    [.] GrInOrderDrawBuffer::onDraw(GrDrawTarget::DrawInfo const&)                                                                                                                                                                                           
     0.03%    bench  libc-2.15.so             [.] malloc                                                                                                                                                                                                                                               
     0.03%    bench  bench                    [.] SkRasterClip::SkRasterClip()                                                                                                                                                                                                                         
     0.03%    bench  libffi.so.6.0.0          [.] 0x0000000000005c71                                                                                                                                                                                                                                   
     0.03%    bench  libpthread-2.15.so       [.] pthread_getspecific                                                                                                                                                                                                                                  
     0.03%    bench  libglsl.so               [.] ir_reader::read_function(s_expression*, bool)                                                                                                                                                                                                        
     0.03%    bench  bench                    [.] SkPath::isOval(SkRect*) const                                                                                                                                                                                                                        
     0.03%    bench  bench                    [.] GrDrawState::srcAlphaWillBeOne() const                                                                                                                                                                                                               
     0.03%    bench  libdrm_nouveau.so.1.0.0  [.] nouveau_pushbuf_submit                                                                                                                                                                                                                               
     0.03%    bench  libdricore.so            [.] _mesa_HashLookup                                                                                                                                                                                                                                     
     0.03%    bench  libgallium.so            [.] st_draw_vbo                                                                                                                                                                                                                                          
     0.03%    bench  bench                    [.] realloc@plt                                                                                                                                                                                                                                          
     0.03%    bench  libglsl.so               [.] ir_variable_refcount_visitor::get_variable_entry(ir_variable*)                                                                                                                                                                                       
     0.03%    bench  libc-2.15.so             [.] free                                                                                                                                                                                                                                                 
     0.03%    bench  bench                    [.] BluntJoiner(SkPath*, SkPath*, SkPoint const&, SkPoint const&, SkPoint const&, float, float, bool, bool)                                                                                                                                              
     0.03%    bench  libglapi.so.0.0.0        [.] 0x000000000000bc67                                                                                                                                                                                                                                   
     0.03%    bench  bench                    [.] GrResourceCache::makeNonExclusive(GrResourceEntry*)                                                                                                                                                                                                  
     0.03%    bench  bench                    [.] sk_atomic_dec(int*)                                                                                                                                                                                                                                  
     0.02%    bench  libdricore.so            [.] _mesa_GetError                                                                                                                                                                                                                                       
     0.02%    bench  bench                    [.] GrGLAttribArrayState::set(GrGpuGL const*, int, GrGLVertexBuffer*, int, unsigned int, unsigned char, int, void*)                                                                                                                                      
     0.02%    bench  bench                    [.] SkStroke::SkStroke()                                                                                                                                                                                                                                 
     0.02%    bench  bench                    [.] SkGpuDevice::drawPath(SkDraw const&, SkPath const&, SkPaint const&, SkMatrix const*, bool)                                                                                                                                                           
     0.02%    bench  bench                    [.] SkBlitter::Choose(SkBitmap const&, SkMatrix const&, SkPaint const&, void*, unsigned long)                                                                                                                                                            
     0.02%    bench  bench                    [.] GrGLProgramDesc::Build(GrDrawState const&, bool, GrDrawState::BlendOptFlags, GrBlendCoeff, GrBlendCoeff, GrGpuGL const*, GrDeviceCoordTexture const*, SkTArray<GrEffectStage const*, true>*, SkTArray<GrEffectStage const*, true>*, GrGLProgramDesc*)
     0.02%    bench  libLLVM-3.0.so.1         [.] llvm::PMTopLevelManager::setLastUser(llvm::SmallVectorImpl<llvm::Pass*> const&, llvm::Pass*)                                                                                                                                                         
     0.02%    bench  nouveau_dri.so           [.] nouveau_buffer_create                                                                                                                                                                                                                                
     0.02%    bench  bench                    [.] operate_on_span(int const*, int const*, int*, int, int)                                                                                                                                                                                              
     0.02%    bench  libLLVM-3.0.so.1         [.] llvm::PMStack::push(llvm::PMDataManager*)                                                                                                                                                                                                            
     0.02%    bench  bench                    [.] F_305(void*)                                                                                                                                                                                                                                         
     0.02%    bench  bench                    [.] void SkTIntroSort<SkRTree::Branch, SkRTree::RectLessY>(int, SkRTree::Branch*, SkRTree::Branch*, SkRTree::RectLessY)                                                                                                                                  
     0.02%    bench  libX11.so.6.3.0          [.] XGetVisualInfo                                                                                                                                                                                                                                       
     0.02%    bench  libfontconfig.so.1.4.4   [.] free@plt                                                                                                                                                                                                                                             
     0.02%    bench  libdricore.so            [.] _mesa_make_extension_string                                                                                                                                                                                                                          
     0.02%    bench  libxcb.so.1.1.0          [.] 0x000000000000ac9c                                                                                                                                                                                                                                   
     0.02%    bench  libc-2.15.so             [.] brk                                                                                                                                                                                                                                                  
     0.01%    bench  libdricore.so            [.] _mesa_get_enabled_extension                                                                                                                                                                                                                          
     0.01%    bench  bench                    [.] SkRTree::insert(void*, SkIRect const&, bool)                                                                                                                                                                                                         
     0.01%    bench  bench                    [.] F_132(void*)                                                                                                                                                                                                                                         
     0.01%    bench  libpthread-2.15.so       [.] __read_nocancel                                                                                                                                                                                                                                      
