# ========
# captured on: Mon Jul 15 18:34:04 2013
# hostname : venture
# os release : 3.5.0-23-generic
# perf version : 3.5.7.2
# arch : x86_64
# nrcpus online : 8
# nrcpus avail : 8
# cpudesc : Intel(R) Core(TM) i7 CPU 870 @ 2.93GHz
# cpuid : GenuineIntel,6,30,5
# total memory : 3982968 kB
# cmdline : /usr/bin/perf_3.5.0-23 record ./out/Release/bench --repeat 10 --match blurrect_gaussian --timers wcg 
# event : name = cycles, type = 0, config = 0x0, config1 = 0x0, config2 = 0x0, excl_usr = 0, excl_kern = 0, id = { 334, 335, 336, 337, 338, 339, 340, 341 }
# HEADER_CPU_TOPOLOGY info available, use -I to display
# HEADER_NUMA_TOPOLOGY info available, use -I to display
# ========
#
# Samples: 49K of event 'cycles'
# Event count (approx.): 42278904026
#
# Overhead  Command           Shared Object                                                                                                                         Symbol
# ........  .......  ......................  .............................................................................................................................
#
     0.00%    bench  bench                   [.] SkCanvas::drawOval(SkRect const&, SkPaint const&)                                                                        
     0.00%    bench  libdricore.so           [.] _mesa_symbol_table_pop_scope                                                                                             
     0.00%    bench  bench                   [.] SkRgnBuilder::blitH(int, int, int)                                                                                       
     0.00%    bench  bench                   [.] make_random_rects(SkRandom&, int, int)                                                                                   
     0.00%    bench  libfreetype.so.6.8.0    [.] TT_RunIns                                                                                                                
     0.00%    bench  libm-2.15.so            [.] __powf_finite                                                                                                            
     0.00%    bench  bench                   [.] sk_atomic_dec(int*)                                                                                                      
     0.00%    bench  libfontconfig.so.1.4.4  [.] FcStrCmp                                                                                                                 
     0.00%    bench  libc-2.15.so            [.] _dl_addr                                                                                                                 
     0.00%    bench  perf_3.5.0-23           [.] 0x000000000002e2ea                                                                                                       


#
# (For a higher level overview, try: perf report --sort comm,dso)
#
