# ========
# captured on: Mon Jul 15 18:30:14 2013
# hostname : venture
# os release : 3.5.0-23-generic
# perf version : 3.5.7.2
# arch : x86_64
# nrcpus online : 8
# nrcpus avail : 8
# cpudesc : Intel(R) Core(TM) i7 CPU 870 @ 2.93GHz
# cpuid : GenuineIntel,6,30,5
# total memory : 3982968 kB
# cmdline : /usr/bin/perf_3.5.0-23 record ./out/Release/bench --repeat 10 --match blurrect_boxfilter --config GPU --timers wcg 
# event : name = cycles, type = 0, config = 0x0, config1 = 0x0, config2 = 0x0, excl_usr = 0, excl_kern = 0, id = { 326, 327, 328, 329, 330, 331, 332, 333 }
# HEADER_CPU_TOPOLOGY info available, use -I to display
# HEADER_NUMA_TOPOLOGY info available, use -I to display
# ========
#
# Samples: 11K of event 'cycles'
# Event count (approx.): 9506848451
#
# Overhead  Command            Shared Object                                                                                                                                                                                                                                                                                                                                                                                                                     Symbol
# ........  .......  .......................  .........................................................................................................................................................................................................................................................................................................................................................................................................................
#
     0.01%    bench  libglapi.so.0.0.0        [.] 0x000000000000ca00                                                                                                                                                                                                                                                                                                                                                                                                   
     0.01%    bench  bench                    [.] malloc@plt                                                                                                                                                                                                                                                                                                                                                                                                           
     0.01%    bench  libdrm_nouveau.so.1.0.0  [.] 0x0000000000001c76                                                                                                                                                                                                                                                                                                                                                                                                   
     0.01%    bench  bench                    [.] F0(void*)                                                                                                                                                                                                                                                                                                                                                                                                            
     0.01%    bench  bench                    [.] SkCanvas::save(SkCanvas::SaveFlags)                                                                                                                                                                                                                                                                                                                                                                                  
     0.01%    bench  bench                    [.] SkRegion::Oper(SkRegion const&, SkRegion const&, SkRegion::Op, SkRegion*)                                                                                                                                                                                                                                                                                                                                            
     0.01%    bench  bench                    [.] SkChunkAlloc::alloc(unsigned long, SkChunkAlloc::AllocFailType)                                                                                                                                                                                                                                                                                                                                                      
     0.01%    bench  libdrm_nouveau.so.1.0.0  [.] nouveau_reloc_emit                                                                                                                                                                                                                                                                                                                                                                                                   
     0.01%    bench  libGL.so.1.2             [.] glGetError                                                                                                                                                                                                                                                                                                                                                                                                           
     0.01%    bench  bench                    [.] void SkTIntroSort<SkRTree::Branch, SkRTree::RectLessX>(int, SkRTree::Branch*, SkRTree::Branch*, SkRTree::RectLessX)                                                                                                                                                                                                                                                                                                  
