# ========
# captured on: Mon Jul 15 17:52:53 2013
# hostname : venture
# os release : 3.5.0-23-generic
# perf version : 3.5.7.2
# arch : x86_64
# nrcpus online : 8
# nrcpus avail : 8
# cpudesc : Intel(R) Core(TM) i7 CPU 870 @ 2.93GHz
# cpuid : GenuineIntel,6,30,5
# total memory : 3982968 kB
# cmdline : /usr/bin/perf_3.5.0-23 record ./out/Release/bench --repeat 10 --match rrects_3_stroke_4 --config GPU --timers wcg 
# event : name = cycles, type = 0, config = 0x0, config1 = 0x0, config2 = 0x0, excl_usr = 0, excl_kern = 0, id = { 150, 151, 152, 153, 154, 155, 156, 157 }
# HEADER_CPU_TOPOLOGY info available, use -I to display
# HEADER_NUMA_TOPOLOGY info available, use -I to display
# ========
#
# Samples: 1K of event 'cycles'
# Event count (approx.): 1171381422
#
# Overhead  Command            Shared Object                                                                                                                                                                                                                                                     Symbol
# ........  .......  .......................  .........................................................................................................................................................................................................................................................
#
    51.72%    bench  [kernel.kallsyms]        [k] 0xffffffff8103fe1a                                                                                                                                                                                                                                   
     4.88%    bench  libc-2.15.so             [.] 0x000000000014a3c1                                                                                                                                                                                                                                   
     1.54%    bench  ld-2.15.so               [.] 0x0000000000009bd8                                                                                                                                                                                                                                   
     1.24%    bench  libdricore.so            [.] 0x00000000000d7c80                                                                                                                                                                                                                                   
     1.17%    bench  bench                    [.] SkA8_Blitter::blitAntiH(int, int, unsigned char const*, short const*)                                                                                                                                                                                
     1.09%    bench  bench                    [.] _ZL10walk_edgesP6SkEdgeN6SkPath8FillTypeEP9SkBlitteriiPFvS4_ibE.isra.3.constprop.29                                                                                                                                                                  
     1.03%    bench  libgallium.so            [.] 0x00000000001116a0                                                                                                                                                                                                                                   
     0.97%    bench  bench                    [.] SkRTree::chooseSubtree(SkRTree::Node*, SkRTree::Branch*)                                                                                                                                                                                             
     0.91%    bench  libGL.so.1.2             [.] 0x000000000001f7b0                                                                                                                                                                                                                                   
     0.87%    bench  bench                    [.] SkCubicEdge::updateCubic()                                                                                                                                                                                                                           
     0.82%    bench  nouveau_dri.so           [.] 0x000000000003e0e3                                                                                                                                                                                                                                   
     0.81%    bench  bench                    [.] SkAlphaRuns::Break(short*, unsigned char*, int, int)                                                                                                                                                                                                 
     0.80%    bench  bench                    [.] SkPathStroker::cubic_to(SkPoint const*, SkPoint const&, SkPoint const&, SkPoint*, SkPoint*, int)                                                                                                                                                     
     0.72%    bench  bench                    [.] SkAlphaRuns::add(int, unsigned int, int, unsigned int, unsigned int, int)                                                                                                                                                                            
     0.66%    bench  bench                    [.] SkCubicEdge::setCubic(SkPoint const*, SkIRect const*, int)                                                                                                                                                                                           
     0.65%    bench  bench                    [.] SkPath::cubicTo(float, float, float, float, float, float)                                                                                                                                                                                            
     0.65%    bench  bench                    [.] SuperBlitter::blitH(int, int, int)                                                                                                                                                                                                                   
     0.59%    bench  bench                    [.] GrInOrderDrawBuffer::flush()                                                                                                                                                                                                                         
     0.52%    bench  libdricore.so            [.] _mesa_update_state_locked                                                                                                                                                                                                                            
     0.52%    bench  bench                    [.] void SkTIntroSort<SkEdge*, SkTPointerCompareLT<SkEdge> >(int, SkEdge**, SkEdge**, SkTPointerCompareLT<SkEdge>)                                                                                                                                       
     0.51%    bench  bench                    [.] MaskSuperBlitter::blitH(int, int, int)                                                                                                                                                                                                               
     0.50%    bench  libdrm_nouveau.so.1.0.0  [.] nouveau_reloc_emit                                                                                                                                                                                                                                   
     0.44%    bench  libglsl.so               [.] 0x0000000000081ce0                                                                                                                                                                                                                                   
     0.44%    bench  bench                    [.] sk_atomic_dec(int*)                                                                                                                                                                                                                                  
     0.43%    bench  bench                    [.] SkPoint::setLength(float)                                                                                                                                                                                                                            
     0.37%    bench  bench                    [.] GrGLProgramDesc::Build(GrDrawState const&, bool, GrDrawState::BlendOptFlags, GrBlendCoeff, GrBlendCoeff, GrGpuGL const*, GrDeviceCoordTexture const*, SkTArray<GrEffectStage const*, true>*, SkTArray<GrEffectStage const*, true>*, GrGLProgramDesc*)
     0.37%    bench  libpthread-2.15.so       [.] pthread_mutex_lock                                                                                                                                                                                                                                   
