# ========
# captured on: Mon Jul 15 18:01:41 2013
# hostname : venture
# os release : 3.5.0-23-generic
# perf version : 3.5.7.2
# arch : x86_64
# nrcpus online : 8
# nrcpus avail : 8
# cpudesc : Intel(R) Core(TM) i7 CPU 870 @ 2.93GHz
# cpuid : GenuineIntel,6,30,5
# total memory : 3982968 kB
# cmdline : /usr/bin/perf_3.5.0-23 record ./out/Release/bench --repeat 10 --match path_fill_small_long_curved --config GPU --timers wcg 
# event : name = cycles, type = 0, config = 0x0, config1 = 0x0, config2 = 0x0, excl_usr = 0, excl_kern = 0, id = { 198, 199, 200, 201, 202, 203, 204, 205 }
# HEADER_CPU_TOPOLOGY info available, use -I to display
# HEADER_NUMA_TOPOLOGY info available, use -I to display
# ========
#
# Samples: 1K of event 'cycles'
# Event count (approx.): 1506764498
#
# Overhead  Command            Shared Object                                                                                                                                                                                                                                                                                                                                                                                                                     Symbol
# ........  .......  .......................  .........................................................................................................................................................................................................................................................................................................................................................................................................................
#
     0.06%    bench  bench                    [.] sort_edges(SkEdge**, int, SkEdge**)                                                                                                                                                                                                                                                                                                                                                                                  
     0.06%    bench  libc-2.15.so             [.] ioctl                                                                                                                                                                                                                                                                                                                                                                                                                
     0.06%    bench  bench                    [.] GrGpuGL::flushScissor()                                                                                                                                                                                                                                                                                                                                                                                              
     0.06%    bench  bench                    [.] SkScan::AntiFillPath(SkPath const&, SkRasterClip const&, SkBlitter*)                                                                                                                                                                                                                                                                                                                                                 
     0.06%    bench  bench                    [.] void SkTIntroSort<SkRTree::Branch, SkRTree::RectLessX>(int, SkRTree::Branch*, SkRTree::Branch*, SkRTree::RectLessX)                                                                                                                                                                                                                                                                                                  
     0.06%    bench  libdricore.so            [.] _mesa_update_texture                                                                                                                                                                                                                                                                                                                                                                                                 
     0.06%    bench  bench                    [.] void SkTIntroSort<SkRTree::Branch, SkRTree::RectLessY>(int, SkRTree::Branch*, SkRTree::Branch*, SkRTree::RectLessY)                                                                                                                                                                                                                                                                                                  
     0.06%    bench  bench                    [.] SkPaint::setStyle(SkPaint::Style)                                                                                                                                                                                                                                                                                                                                                                                    
     0.06%    bench  libgallium.so            [.] glsl_to_tgsi_visitor::eliminate_dead_code()                                                                                                                                                                                                                                                                                                                                                                          
     0.06%    bench  libpthread-2.15.so       [.] pthread_mutex_lock                                                                                                                                                                                                                                                                                                                                                                                                   
     0.06%    bench  bench                    [.] GrGLShaderBuilder::emitEffects(GrEffectStage const**, unsigned int const*, int, SkString*, GrSLConstantVec*, SkTArray<int, true>**, GrGLEffect**)                                                                                                                                                                                                                                                                    
     0.06%    bench  bench                    [.] SkPath::Iter::doNext(SkPoint*)                                                                                                                                                                                                                                                                                                                                                                                       
     0.06%    bench  libglsl.so               [.] ir_dereference_array::accept(ir_hierarchical_visitor*)                                                                                                                                                                                                                                                                                                                                                               
     0.06%    bench  bench                    [.] operate_on_span(int const*, int const*, int*, int, int)                                                                                                                                                                                                                                                                                                                                                              
     0.06%    bench  bench                    [.] GrGLVertexBuffer::isLocked() const                                                                                                                                                                                                                                                                                                                                                                                   
     0.06%    bench  bench                    [.] SkAlphaRuns::reset(int)                                                                                                                                                                                                                                                                                                                                                                                              
     0.06%    bench  bench                    [.] SkMatrix::setRotate(float)                                                                                                                                                                                                                                                                                                                                                                                           
     0.06%    bench  libdricore.so            [.] hash_table_find                                                                                                                                                                                                                                                                                                                                                                                                      
     0.06%    bench  libglsl.so               [.] s_match(s_expression*, unsigned int, s_pattern*, bool)                                                                                                                                                                                                                                                                                                                                                               
     0.06%    bench  libglsl.so               [.] ir_variable_refcount_visitor::get_variable_entry(ir_variable*)                                                                                                                                                                                                                                                                                                                                                       
     0.06%    bench  libglsl.so               [.] ir_dereference_variable::accept(ir_hierarchical_visitor*)                                                                                                                                                                                                                                                                                                                                                            
     0.06%    bench  libLLVM-3.0.so.1         [.] llvm::X86InstrInfo::AddTableEntry(llvm::DenseMap<unsigned int, std::pair<unsigned int, unsigned int>, llvm::DenseMapInfo<unsigned int>, llvm::DenseMapInfo<std::pair<unsigned int, unsigned int> > >&, llvm::DenseMap<unsigned int, std::pair<unsigned int, unsigned int>, llvm::DenseMapInfo<unsigned int>, llvm::DenseMapInfo<std::pair<unsigned int, unsigned int> > >&, unsigned int, unsigned int, unsigned int)
     0.06%    bench  libdricore.so            [.] _mesa_get_enabled_extension                                                                                                                                                                                                                                                                                                                                                                                          
     0.06%    bench  nouveau_dri.so           [.] nouveau_user_buffer_create                                                                                                                                                                                                                                                                                                                                                                                           
     0.06%    bench  libdricore.so            [.] _mesa_GetError                                                                                                                                                                                                                                                                                                                                                                                                       
     0.06%    bench  libglsl.so               [.] ir_reader::read_instruction(s_expression*, ir_loop*)                                                                                                                                                                                                                                                                                                                                                                 
     0.06%    bench  libc-2.15.so             [.] free                                                                                                                                                                                                                                                                                                                                                                                                                 
     0.06%    bench  bench                    [.] make_random_rects(SkRandom&, int, int)                                                                                                                                                                                                                                                                                                                                                                               
     0.06%    bench  bench                    [.] SkTLS::PlatformGetSpecific(bool)                                                                                                                                                                                                                                                                                                                                                                                     
     0.06%    bench  bench                    [.] F_498(void*)                                                                                                                                                                                                                                                                                                                                                                                                         
     0.06%    bench  bench                    [.] sk_atomic_inc(int*)                                                                                                                                                                                                                                                                                                                                                                                                  
     0.05%    bench  bench                    [.] GrInOrderDrawBuffer::flush()                                                                                                                                                                                                                                                                                                                                                                                         
     0.05%    bench  libLLVM-3.0.so.1         [.] llvm::MCRegisterInfo::mapLLVMRegToDwarfReg(unsigned int, int, bool)                                                                                                                                                                                                                                                                                                                                                  
     0.05%    bench  bench                    [.] GrSimpleTextureEffect::getConstantColorComponents(unsigned int*, unsigned int*) const                                                                                                                                                                                                                                                                                                                                
     0.05%    bench  libX11.so.6.3.0          [.] XGetVisualInfo                                                                                                                                                                                                                                                                                                                                                                                                       
     0.05%    bench  libc-2.15.so             [.] realloc                                                                                                                                                                                                                                                                                                                                                                                                              
     0.05%    bench  libfreetype.so.6.8.0     [.] FT_MulFix                                                                                                                                                                                                                                                                                                                                                                                                            
     0.05%    bench  libm-2.15.so             [.] powf                                                                                                                                                                                                                                                                                                                                                                                                                 
     0.03%    bench  libfontconfig.so.1.4.4   [.] FcConfigParseAndLoad                                                                                                                                                                                                                                                                                                                                                                                                 
     0.03%    bench  nouveau_dri.so           [.] driCreateConfigs                                                                                                                                                                                                                                                                                                                                                                                                     
     0.03%    bench  bench                    [.] sk_memset32_SSE2(unsigned int*, unsigned int, int)                                                                                                                                                                                                                                                                                                                                                                   
     0.02%    bench  bench                    [.] SkGLContextHelper::init(int, int)                                                                                                                                                                                                                                                                                                                                                                                    
     0.02%    bench  libdricore.so            [.] _mesa_make_extension_string                                                                                                                                                                                                                                                                                                                                                                                          
     0.02%    bench  libgallium.so            [.] 0x0000000000121d34                                                                                                                                                                                                                                                                                                                                                                                                   
     0.02%    bench  libglsl.so               [.] ralloc_array_size                                                                                                                                                                                                                                                                                                                                                                                                    


#
# (For a higher level overview, try: perf report --sort comm,dso)
#
